GID,GO,EVIDENCE,Aspect
LotjaGi1g1v0055200.1,GO:0043562,ISS,P
LotjaGi1g1v0055400.1,GO:0006355,ISS,P
LotjaGi1g1v0056100.1,GO:0006468,ISS,P
LotjaGi1g1v0056200.1,GO:0006468,ISS,P
LotjaGi1g1v0056300.1,GO:0006886,ISS,P
LotjaGi1g1v0056300.1,GO:0016192,ISS,P
LotjaGi1g1v0056300.1,GO:0015031,ISS,P
LotjaGi1g1v0056600.1,GO:0006468,ISS,P
LotjaGi1g1v0056600.3,GO:0006468,ISS,P
LotjaGi1g1v0056600.4,GO:0006468,ISS,P
LotjaGi1g1v0057100.1,GO:0015979,ISS,P
LotjaGi1g1v0057100.1,GO:0015995,ISS,P
LotjaGi1g1v0057100.1,GO:0055114,ISS,P
LotjaGi1g1v0057100.1,GO:0051188,ISS,P
LotjaGi1g1v0057200.1,GO:0055114,ISS,P
LotjaGi1g1v0057200.2,GO:0055114,ISS,P
LotjaGi1g1v0057300_LC.1,GO:0055114,ISS,P
LotjaGi1g1v0057700.1,GO:0006351,ISS,P
LotjaGi1g1v0057900_LC.1,GO:0006355,ISS,P
LotjaGi1g1v0057900_LC.2,GO:0006355,ISS,P
LotjaGi1g1v0058000.1,GO:0006629,ISS,P
LotjaGi1g1v0058100.1,GO:0006457,ISS,P
LotjaGi1g1v0058100.2,GO:0006457,ISS,P
LotjaGi1g1v0058100.3,GO:0006457,ISS,P
LotjaGi1g1v0058100.4,GO:0006457,ISS,P
LotjaGi1g1v0058100.5,GO:0006457,ISS,P
LotjaGi1g1v0058200.1,GO:0055114,ISS,P
LotjaGi1g1v0058300.1,GO:0015936,ISS,P
LotjaGi1g1v0058300.1,GO:0055114,ISS,P
LotjaGi1g1v0058300.1,GO:0008299,ISS,P
LotjaGi1g1v0058600.2,GO:0006412,ISS,P
LotjaGi1g1v0058600.4,GO:0006412,ISS,P
LotjaGi1g1v0058600.5,GO:0006412,ISS,P
LotjaGi1g1v0059300.1,GO:0032324,ISS,P
LotjaGi1g1v0059300.1,GO:0006777,ISS,P
LotjaGi1g1v0059700.1,GO:0055114,ISS,P
LotjaGi1g1v0059700.2,GO:0055114,ISS,P
LotjaGi1g1v0059900.1,GO:0055114,ISS,P
LotjaGi1g1v0060000.1,GO:0055114,ISS,P
LotjaGi1g1v0060000.2,GO:0055114,ISS,P
LotjaGi1g1v0060100.1,GO:0000160,ISS,P
LotjaGi1g1v0060100.1,GO:0007165,ISS,P
LotjaGi1g1v0060100.1,GO:0016310,ISS,P
LotjaGi1g1v0060100.2,GO:0000160,ISS,P
LotjaGi1g1v0060400.1,GO:0006412,ISS,P
LotjaGi1g1v0060700_LC.1,GO:0006412,ISS,P
LotjaGi1g1v0060900.1,GO:0051276,ISS,P
LotjaGi1g1v0060900.4,GO:0051276,ISS,P
LotjaGi1g1v0061200.1,GO:0016579,ISS,P
LotjaGi1g1v0061200.1,GO:0006511,ISS,P
LotjaGi1g1v0061200.2,GO:0016579,ISS,P
LotjaGi1g1v0061200.2,GO:0006511,ISS,P
LotjaGi1g1v0061200.3,GO:0016579,ISS,P
LotjaGi1g1v0061200.3,GO:0006511,ISS,P
LotjaGi1g1v0061200.4,GO:0016579,ISS,P
LotjaGi1g1v0061200.4,GO:0006511,ISS,P
LotjaGi1g1v0061200.5,GO:0016579,ISS,P
LotjaGi1g1v0061200.5,GO:0006511,ISS,P
LotjaGi1g1v0061200.7,GO:0016579,ISS,P
LotjaGi1g1v0061200.7,GO:0006511,ISS,P
LotjaGi1g1v0061300.1,GO:0006357,ISS,P
LotjaGi1g1v0061300.2,GO:0006357,ISS,P
LotjaGi1g1v0061300.3,GO:0006357,ISS,P
LotjaGi1g1v0061700_LC.1,GO:0055085,ISS,P
LotjaGi1g1v0061900.1,GO:0006412,ISS,P
LotjaGi1g1v0062200.1,GO:0006511,ISS,P
LotjaGi1g1v0062200.2,GO:0006511,ISS,P
LotjaGi1g1v0062600.1,GO:0006468,ISS,P
LotjaGi1g1v0062600.2,GO:0006468,ISS,P
LotjaGi1g1v0062900.1,GO:0055114,ISS,P
LotjaGi1g1v0062900.2,GO:0055114,ISS,P
LotjaGi1g1v0062900.4,GO:0055114,ISS,P
LotjaGi1g1v0063000.1,GO:0007165,ISS,P
LotjaGi1g1v0063400.2,GO:0055114,ISS,P
LotjaGi1g1v0063400.3,GO:0055114,ISS,P
LotjaGi1g1v0063600_LC.2,GO:0016180,ISS,P
LotjaGi1g1v0063900.1,GO:0016180,ISS,P
LotjaGi1g1v0063900.2,GO:0016180,ISS,P
LotjaGi1g1v0064200_LC.1,GO:0000723,ISS,P
LotjaGi1g1v0064200_LC.1,GO:0006281,ISS,P
LotjaGi1g1v0064400_LC.1,GO:0016180,ISS,P
LotjaGi1g1v0064500.1,GO:0016180,ISS,P
LotjaGi1g1v0065200.1,GO:0006355,ISS,P
LotjaGi1g1v0065200.2,GO:0006355,ISS,P
LotjaGi1g1v0065200.3,GO:0006355,ISS,P
LotjaGi1g1v0065500.1,GO:0006412,ISS,P
LotjaGi1g1v0065500.2,GO:0006412,ISS,P
LotjaGi1g1v0065600.1,GO:0055085,ISS,P
LotjaGi1g1v0065700.1,GO:0055085,ISS,P
LotjaGi1g1v0065900.1,GO:0006468,ISS,P
LotjaGi1g1v0066200.1,GO:0005975,ISS,P
LotjaGi1g1v0066300.1,GO:0055085,ISS,P
LotjaGi1g1v0066300.2,GO:0055085,ISS,P
LotjaGi1g1v0066300.3,GO:0055085,ISS,P
LotjaGi1g1v0066400.1,GO:0006468,ISS,P
LotjaGi1g1v0066500.1,GO:0006508,ISS,P
LotjaGi1g1v0066700.1,GO:0005975,ISS,P
LotjaGi1g1v0066700.2,GO:0005975,ISS,P
LotjaGi1g1v0066900.1,GO:0055114,ISS,P
LotjaGi1g1v0067200.1,GO:0055114,ISS,P
LotjaGi1g1v0067200.2,GO:0055114,ISS,P
LotjaGi1g1v0067300.1,GO:0016311,ISS,P
LotjaGi1g1v0067400_LC.1,GO:0006418,ISS,P
LotjaGi1g1v0067400_LC.1,GO:0006435,ISS,P
LotjaGi1g1v0067600_LC.1,GO:0005975,ISS,P
LotjaGi1g1v0067900.1,GO:0006355,ISS,P
LotjaGi1g1v0068200.1,GO:0006629,ISS,P
LotjaGi1g1v0068300.1,GO:0045454,ISS,P
LotjaGi1g1v0068400.1,GO:0000278,ISS,P
LotjaGi1g1v0068400.2,GO:0000278,ISS,P
LotjaGi1g1v0068500.1,GO:0006355,ISS,P
LotjaGi1g1v0068800.1,GO:0016311,ISS,P
LotjaGi1g1v0068800.1,GO:0006470,ISS,P
LotjaGi1g1v0069200.1,GO:0015074,ISS,P
LotjaGi1g1v0069300.1,GO:0030001,ISS,P
LotjaGi1g1v0070800.1,GO:0006568,ISS,P
LotjaGi1g1v0070800.2,GO:0006568,ISS,P
LotjaGi1g1v0071500.1,GO:0006979,ISS,P
LotjaGi1g1v0071500.1,GO:0055114,ISS,P
LotjaGi1g1v0071500.1,GO:0042744,ISS,P
LotjaGi1g1v0071500.2,GO:0006979,ISS,P
LotjaGi1g1v0071500.2,GO:0055114,ISS,P
LotjaGi1g1v0071500.2,GO:0042744,ISS,P
LotjaGi1g1v0072400.1,GO:0006886,ISS,P
LotjaGi1g1v0072400.2,GO:0006886,ISS,P
LotjaGi1g1v0073400.1,GO:0006468,ISS,P
LotjaGi1g1v0073400.2,GO:0006468,ISS,P
LotjaGi1g1v0073400.3,GO:0006468,ISS,P
